26512000, 189149.047771, 192.0.90.1, 128.0.0.79, 65
26512001, 189149.047775, 192.0.90.1, 128.0.0.79, 65
26512041, 189169.345300, 192.0.90.1, 128.0.0.79, 65
26512042, 189169.345302, 192.0.90.1, 128.0.0.79, 65
26512058, 189189.341138, 192.0.90.1, 128.0.0.79, 65
26512059, 189189.341141, 192.0.90.1, 128.0.0.79, 65
26512089, 189209.327612, 192.0.90.1, 128.0.0.79, 65
26512090, 189209.327736, 192.0.90.1, 128.0.0.79, 65
26512119, 189229.322225, 192.0.90.1, 128.0.0.79, 65
26512120, 189229.322232, 192.0.90.1, 128.0.0.79, 65
26512196, 189249.311429, 192.0.90.1, 128.0.0.79, 65
26512197, 189249.311432, 192.0.90.1, 128.0.0.79, 65
26512239, 189269.319881, 192.0.90.1, 128.0.0.79, 65
26512240, 189269.319884, 192.0.90.1, 128.0.0.79, 65
26512266, 189289.326838, 192.0.90.1, 128.0.0.79, 65
26512267, 189289.326841, 192.0.90.1, 128.0.0.79, 65
26512313, 189309.322920, 192.0.90.1, 128.0.0.79, 65
26512314, 189309.322924, 192.0.90.1, 128.0.0.79, 65
26512379, 189329.310532, 192.0.90.1, 128.0.0.79, 65
26512380, 189329.310534, 192.0.90.1, 128.0.0.79, 65
26512418, 189349.411046, 192.0.90.1, 128.0.0.79, 65
26512419, 189349.411171, 192.0.90.1, 128.0.0.79, 65
26512451, 189369.304315, 192.0.90.1, 128.0.0.79, 65
26512452, 189369.304318, 192.0.90.1, 128.0.0.79, 65
26512499, 189389.331136, 192.0.90.1, 128.0.0.79, 65
26512500, 189389.331139, 192.0.90.1, 128.0.0.79, 65
26512684, 189409.297369, 192.0.90.1, 128.0.0.79, 65
26512685, 189409.297372, 192.0.90.1, 128.0.0.79, 65
26514753, 189429.312451, 192.0.90.1, 128.0.0.79, 65
26514754, 189429.312458, 192.0.90.1, 128.0.0.79, 65
26516787, 189449.294545, 192.0.90.1, 128.0.0.79, 65
