28367639, 197072.500388, 192.0.98.1, 128.0.0.52, 64
28367640, 197072.500391, 192.0.98.1, 128.0.0.52, 64
28370102, 197092.511098, 192.0.98.1, 128.0.0.52, 64
28370103, 197092.511103, 192.0.98.1, 128.0.0.52, 64
28372704, 197112.520685, 192.0.98.1, 128.0.0.52, 64
28372705, 197112.520688, 192.0.98.1, 128.0.0.52, 64
28375406, 197132.515026, 192.0.98.1, 128.0.0.52, 64
28375407, 197132.515028, 192.0.98.1, 128.0.0.52, 64
28378085, 197152.505741, 192.0.98.1, 128.0.0.52, 64
28378086, 197152.505748, 192.0.98.1, 128.0.0.52, 64
28380712, 197172.497721, 192.0.98.1, 128.0.0.52, 64
28380713, 197172.497723, 192.0.98.1, 128.0.0.52, 64
28383306, 197192.509545, 192.0.98.1, 128.0.0.52, 64
28383307, 197192.509547, 192.0.98.1, 128.0.0.52, 64
28385956, 197212.505766, 192.0.98.1, 128.0.0.52, 64
28385957, 197212.505771, 192.0.98.1, 128.0.0.52, 64
28388628, 197232.513977, 192.0.98.1, 128.0.0.52, 64
28388629, 197232.513979, 192.0.98.1, 128.0.0.52, 64
28391218, 197252.497824, 192.0.98.1, 128.0.0.52, 64
28391219, 197252.497827, 192.0.98.1, 128.0.0.52, 64
28393883, 197272.509892, 192.0.98.1, 128.0.0.52, 64
28393884, 197272.509895, 192.0.98.1, 128.0.0.52, 64
28396578, 197292.538972, 192.0.98.1, 128.0.0.52, 64
28396579, 197292.538974, 192.0.98.1, 128.0.0.52, 64
28399271, 197312.510469, 192.0.98.1, 128.0.0.52, 64
28399272, 197312.510471, 192.0.98.1, 128.0.0.52, 64
28401956, 197332.538396, 192.0.98.1, 128.0.0.52, 64
28401957, 197332.538405, 192.0.98.1, 128.0.0.52, 64
28404630, 197352.526612, 192.0.98.1, 128.0.0.52, 64
28404631, 197352.526615, 192.0.98.1, 128.0.0.52, 64
28407299, 197372.538819, 192.0.98.1, 128.0.0.52, 64
28407300, 197372.538822, 192.0.98.1, 128.0.0.52, 64
28410071, 197392.545157, 192.0.98.1, 128.0.0.52, 64
28410072, 197392.545165, 192.0.98.1, 128.0.0.52, 64
28415907, 197412.525130, 192.0.98.1, 128.0.0.52, 64
28415908, 197412.525134, 192.0.98.1, 128.0.0.52, 64
28422579, 197432.491364, 192.0.98.1, 128.0.0.52, 64
28422580, 197432.491367, 192.0.98.1, 128.0.0.52, 64
28429255, 197452.541423, 192.0.98.1, 128.0.0.52, 64
28429256, 197452.541426, 192.0.98.1, 128.0.0.52, 64
28434837, 197472.509782, 192.0.98.1, 128.0.0.52, 64
28434838, 197472.509785, 192.0.98.1, 128.0.0.52, 64
28437522, 197492.491881, 192.0.98.1, 128.0.0.52, 64
28437523, 197492.491884, 192.0.98.1, 128.0.0.52, 64
28440220, 197512.525594, 192.0.98.1, 128.0.0.52, 64
28440221, 197512.525596, 192.0.98.1, 128.0.0.52, 64
28442897, 197532.514675, 192.0.98.1, 128.0.0.52, 64
