30218439, 239798.463891, 192.0.105.1, 128.0.0.26, 65
30218440, 239798.463894, 192.0.105.1, 128.0.0.26, 65
30218444, 239803.313225, 192.0.105.1, 128.0.0.26, 127
30218445, 239803.313228, 192.0.105.1, 128.0.0.26, 127
30218446, 239803.362953, 192.0.105.1, 128.0.0.26, 116
30218447, 239803.362957, 192.0.105.1, 128.0.0.26, 116
30218448, 239803.429282, 192.0.105.1, 128.0.0.26, 118
30218449, 239803.429285, 192.0.105.1, 128.0.0.26, 118
30218450, 239803.488622, 192.0.105.1, 128.0.0.26, 118
30218451, 239803.488625, 192.0.105.1, 128.0.0.26, 118
30218452, 239803.555081, 192.0.105.1, 128.0.0.26, 198
30218453, 239803.555084, 192.0.105.1, 128.0.0.26, 198
30218454, 239803.608045, 192.0.105.1, 128.0.0.26, 192
30218455, 239803.608048, 192.0.105.1, 128.0.0.26, 192
30218457, 239803.668015, 192.0.105.1, 128.0.0.26, 189
30218458, 239803.668018, 192.0.105.1, 128.0.0.26, 189
30218460, 239803.734221, 192.0.105.1, 128.0.0.26, 193
30218461, 239803.734224, 192.0.105.1, 128.0.0.26, 193
30218463, 239803.793443, 192.0.105.1, 128.0.0.26, 204
30218464, 239803.793445, 192.0.105.1, 128.0.0.26, 204
30218466, 239803.853277, 192.0.105.1, 128.0.0.26, 210
30218467, 239803.853279, 192.0.105.1, 128.0.0.26, 210
30218469, 239803.913000, 192.0.105.1, 128.0.0.26, 196
30218470, 239803.913003, 192.0.105.1, 128.0.0.26, 196
30218472, 239803.972576, 192.0.105.1, 128.0.0.26, 198
30218473, 239803.972581, 192.0.105.1, 128.0.0.26, 198
30218475, 239804.038913, 192.0.105.1, 128.0.0.26, 204
30218476, 239804.038916, 192.0.105.1, 128.0.0.26, 204
30218478, 239804.091879, 192.0.105.1, 128.0.0.26, 190
30218479, 239804.091882, 192.0.105.1, 128.0.0.26, 190
30218481, 239804.151223, 192.0.105.1, 128.0.0.26, 193
30218482, 239804.151226, 192.0.105.1, 128.0.0.26, 193
30218484, 239804.211189, 192.0.105.1, 128.0.0.26, 199
30218485, 239804.211192, 192.0.105.1, 128.0.0.26, 199
30218487, 239804.277396, 192.0.105.1, 128.0.0.26, 195
30218488, 239804.277399, 192.0.105.1, 128.0.0.26, 195
30218489, 239804.336985, 192.0.105.1, 128.0.0.26, 204
30218490, 239804.336988, 192.0.105.1, 128.0.0.26, 204
30218493, 239804.389704, 192.0.105.1, 128.0.0.26, 205
30218494, 239804.389707, 192.0.105.1, 128.0.0.26, 205
30218496, 239804.449667, 192.0.105.1, 128.0.0.26, 191
30218497, 239804.449670, 192.0.105.1, 128.0.0.26, 191
30218499, 239804.509380, 192.0.105.1, 128.0.0.26, 189
30218500, 239804.509391, 192.0.105.1, 128.0.0.26, 189
30218502, 239804.568846, 192.0.105.1, 128.0.0.26, 207
30218503, 239804.568849, 192.0.105.1, 128.0.0.26, 207
30218505, 239804.635181, 192.0.105.1, 128.0.0.26, 196
30218506, 239804.635183, 192.0.105.1, 128.0.0.26, 196
30218508, 239804.694646, 192.0.105.1, 128.0.0.26, 197
30218509, 239804.694649, 192.0.105.1, 128.0.0.26, 197
30218511, 239804.754354, 192.0.105.1, 128.0.0.26, 208
30218512, 239804.754357, 192.0.105.1, 128.0.0.26, 208
30218514, 239804.813819, 192.0.105.1, 128.0.0.26, 205
30218515, 239804.813823, 192.0.105.1, 128.0.0.26, 205
30218517, 239804.873659, 192.0.105.1, 128.0.0.26, 188
30218518, 239804.873662, 192.0.105.1, 128.0.0.26, 188
30218520, 239804.933010, 192.0.105.1, 128.0.0.26, 201
30218521, 239804.933019, 192.0.105.1, 128.0.0.26, 201
30218522, 239804.966232, 192.0.105.1, 128.0.0.26, 182
30218523, 239804.966234, 192.0.105.1, 128.0.0.26, 182
30218525, 239804.993099, 192.0.105.1, 128.0.0.26, 182
30218526, 239804.993104, 192.0.105.1, 128.0.0.26, 182
30218527, 239805.026194, 192.0.105.1, 128.0.0.26, 181
30218528, 239805.026202, 192.0.105.1, 128.0.0.26, 181
30218530, 239805.052302, 192.0.105.1, 128.0.0.26, 195
30218531, 239805.052305, 192.0.105.1, 128.0.0.26, 195
30218532, 239805.085660, 192.0.105.1, 128.0.0.26, 181
30218533, 239805.085664, 192.0.105.1, 128.0.0.26, 181
30218534, 239805.109031, 192.0.105.1, 128.0.0.26, 155
30218535, 239805.109034, 192.0.105.1, 128.0.0.26, 155
30218537, 239805.138506, 192.0.105.1, 128.0.0.26, 182
30218538, 239805.138510, 192.0.105.1, 128.0.0.26, 182
30218540, 239805.171490, 192.0.105.1, 128.0.0.26, 183
30218541, 239805.171497, 192.0.105.1, 128.0.0.26, 183
30218542, 239805.194965, 192.0.105.1, 128.0.0.26, 156
30218543, 239805.194968, 192.0.105.1, 128.0.0.26, 156
30218545, 239805.228195, 192.0.105.1, 128.0.0.26, 158
30218546, 239805.228198, 192.0.105.1, 128.0.0.26, 158
30218548, 239805.264424, 192.0.105.1, 128.0.0.26, 176
30218549, 239805.264427, 192.0.105.1, 128.0.0.26, 176
30218551, 239805.290782, 192.0.105.1, 128.0.0.26, 167
30218552, 239805.290785, 192.0.105.1, 128.0.0.26, 167
30218554, 239805.324271, 192.0.105.1, 128.0.0.26, 176
30218555, 239805.324278, 192.0.105.1, 128.0.0.26, 176
30218557, 239805.360744, 192.0.105.1, 128.0.0.26, 183
30218558, 239805.360749, 192.0.105.1, 128.0.0.26, 183
30218560, 239805.383728, 192.0.105.1, 128.0.0.26, 171
30218561, 239805.383731, 192.0.105.1, 128.0.0.26, 171
30218563, 239805.416959, 192.0.105.1, 128.0.0.26, 170
30218564, 239805.416962, 192.0.105.1, 128.0.0.26, 170
30218566, 239805.443316, 192.0.105.1, 128.0.0.26, 192
30218567, 239805.443319, 192.0.105.1, 128.0.0.26, 192
30218569, 239805.476296, 192.0.105.1, 128.0.0.26, 176
30218570, 239805.476300, 192.0.105.1, 128.0.0.26, 176
30218572, 239805.503287, 192.0.105.1, 128.0.0.26, 167
30218573, 239805.503292, 192.0.105.1, 128.0.0.26, 167
30218575, 239805.533015, 192.0.105.1, 128.0.0.26, 160
30218576, 239805.533018, 192.0.105.1, 128.0.0.26, 160
30218578, 239805.562501, 192.0.105.1, 128.0.0.26, 186
30218579, 239805.562503, 192.0.105.1, 128.0.0.26, 186
30218581, 239805.592355, 192.0.105.1, 128.0.0.26, 163
30218582, 239805.592358, 192.0.105.1, 128.0.0.26, 163
30218584, 239805.622213, 192.0.105.1, 128.0.0.26, 175
30218585, 239805.622216, 192.0.105.1, 128.0.0.26, 175
30218587, 239805.655569, 192.0.105.1, 128.0.0.26, 187
30218588, 239805.655571, 192.0.105.1, 128.0.0.26, 187
30218590, 239805.681803, 192.0.105.1, 128.0.0.26, 199
30218591, 239805.681806, 192.0.105.1, 128.0.0.26, 199
30218593, 239805.714910, 192.0.105.1, 128.0.0.26, 204
30218594, 239805.714914, 192.0.105.1, 128.0.0.26, 204
30218596, 239805.741389, 192.0.105.1, 128.0.0.26, 185
30218597, 239805.741392, 192.0.105.1, 128.0.0.26, 185
30218599, 239805.774745, 192.0.105.1, 128.0.0.26, 210
30218600, 239805.774750, 192.0.105.1, 128.0.0.26, 210
30218602, 239805.804489, 192.0.105.1, 128.0.0.26, 221
30218603, 239805.804492, 192.0.105.1, 128.0.0.26, 221
30218605, 239805.840957, 192.0.105.1, 128.0.0.26, 192
30218606, 239805.840962, 192.0.105.1, 128.0.0.26, 192
30218608, 239805.860570, 192.0.105.1, 128.0.0.26, 180
30218609, 239805.860573, 192.0.105.1, 128.0.0.26, 180
30218611, 239805.893919, 192.0.105.1, 128.0.0.26, 213
30218612, 239805.893922, 192.0.105.1, 128.0.0.26, 213
30218614, 239805.930532, 192.0.105.1, 128.0.0.26, 229
30218615, 239805.930542, 192.0.105.1, 128.0.0.26, 229
30218617, 239805.957011, 192.0.105.1, 128.0.0.26, 232
30218618, 239805.957013, 192.0.105.1, 128.0.0.26, 232
30218620, 239805.979873, 192.0.105.1, 128.0.0.26, 210
30218621, 239805.979876, 192.0.105.1, 128.0.0.26, 210
30218623, 239806.013227, 192.0.105.1, 128.0.0.26, 190
30218624, 239806.013230, 192.0.105.1, 128.0.0.26, 190
30218626, 239806.046208, 192.0.105.1, 128.0.0.26, 263
30218627, 239806.046210, 192.0.105.1, 128.0.0.26, 263
30218629, 239806.079437, 192.0.105.1, 128.0.0.26, 286
30218630, 239806.079440, 192.0.105.1, 128.0.0.26, 286
30218632, 239806.112544, 192.0.105.1, 128.0.0.26, 283
30218633, 239806.112547, 192.0.105.1, 128.0.0.26, 283
30218635, 239806.138904, 192.0.105.1, 128.0.0.26, 274
30218636, 239806.138907, 192.0.105.1, 128.0.0.26, 274
30218638, 239806.172127, 192.0.105.1, 128.0.0.26, 272
30218639, 239806.172130, 192.0.105.1, 128.0.0.26, 272
30218641, 239806.198745, 192.0.105.1, 128.0.0.26, 288
30218642, 239806.198752, 192.0.105.1, 128.0.0.26, 288
30218644, 239806.231722, 192.0.105.1, 128.0.0.26, 277
30218645, 239806.231725, 192.0.105.1, 128.0.0.26, 277
30218647, 239806.258083, 192.0.105.1, 128.0.0.26, 276
30218648, 239806.258086, 192.0.105.1, 128.0.0.26, 276
30218651, 239806.291438, 192.0.105.1, 128.0.0.26, 270
30218652, 239806.291444, 192.0.105.1, 128.0.0.26, 270
30218654, 239806.334534, 192.0.105.1, 128.0.0.26, 268
30218655, 239806.334536, 192.0.105.1, 128.0.0.26, 268
30218657, 239806.357645, 192.0.105.1, 128.0.0.26, 278
30218658, 239806.357648, 192.0.105.1, 128.0.0.26, 278
30218659, 239806.381006, 192.0.105.1, 128.0.0.26, 276
30218660, 239806.381009, 192.0.105.1, 128.0.0.26, 276
30218662, 239806.410739, 192.0.105.1, 128.0.0.26, 268
30218663, 239806.410744, 192.0.105.1, 128.0.0.26, 268
30218665, 239806.437342, 192.0.105.1, 128.0.0.26, 271
30218666, 239806.437345, 192.0.105.1, 128.0.0.26, 271
30218668, 239806.470323, 192.0.105.1, 128.0.0.26, 272
30218669, 239806.470326, 192.0.105.1, 128.0.0.26, 272
30218671, 239806.496681, 192.0.105.1, 128.0.0.26, 272
30218672, 239806.496684, 192.0.105.1, 128.0.0.26, 272
30218674, 239806.529794, 192.0.105.1, 128.0.0.26, 268
30218675, 239806.529797, 192.0.105.1, 128.0.0.26, 268
30218677, 239806.562898, 192.0.105.1, 128.0.0.26, 278
30218678, 239806.562901, 192.0.105.1, 128.0.0.26, 278
30218680, 239806.589505, 192.0.105.1, 128.0.0.26, 264
30218681, 239806.589509, 192.0.105.1, 128.0.0.26, 264
30218683, 239806.612619, 192.0.105.1, 128.0.0.26, 238
30218684, 239806.612621, 192.0.105.1, 128.0.0.26, 238
30218686, 239806.645853, 192.0.105.1, 128.0.0.26, 248
30218687, 239806.645858, 192.0.105.1, 128.0.0.26, 248
30218689, 239806.682325, 192.0.105.1, 128.0.0.26, 284
30218690, 239806.682328, 192.0.105.1, 128.0.0.26, 284
30218692, 239806.708804, 192.0.105.1, 128.0.0.26, 293
30218693, 239806.708807, 192.0.105.1, 128.0.0.26, 293
30218695, 239806.731922, 192.0.105.1, 128.0.0.26, 259
30218696, 239806.731925, 192.0.105.1, 128.0.0.26, 259
30218698, 239806.765145, 192.0.105.1, 128.0.0.26, 216
30218699, 239806.765148, 192.0.105.1, 128.0.0.26, 216
30218701, 239806.791755, 192.0.105.1, 128.0.0.26, 248
30218702, 239806.791757, 192.0.105.1, 128.0.0.26, 248
30218704, 239806.824734, 192.0.105.1, 128.0.0.26, 237
30218705, 239806.824737, 192.0.105.1, 128.0.0.26, 237
30218707, 239806.854345, 192.0.105.1, 128.0.0.26, 198
30218708, 239806.854347, 192.0.105.1, 128.0.0.26, 198
30218710, 239806.887571, 192.0.105.1, 128.0.0.26, 198
30218711, 239806.887576, 192.0.105.1, 128.0.0.26, 198
30218713, 239806.914188, 192.0.105.1, 128.0.0.26, 196
30218714, 239806.914191, 192.0.105.1, 128.0.0.26, 196
30218716, 239806.947293, 192.0.105.1, 128.0.0.26, 191
30218717, 239806.947296, 192.0.105.1, 128.0.0.26, 191
30218719, 239806.986897, 192.0.105.1, 128.0.0.26, 213
30218720, 239806.986902, 192.0.105.1, 128.0.0.26, 213
30218722, 239807.010391, 192.0.105.1, 128.0.0.26, 227
30218723, 239807.010394, 192.0.105.1, 128.0.0.26, 227
30218725, 239807.036738, 192.0.105.1, 128.0.0.26, 217
30218726, 239807.036741, 192.0.105.1, 128.0.0.26, 217
30218728, 239807.066468, 192.0.105.1, 128.0.0.26, 210
30218729, 239807.066471, 192.0.105.1, 128.0.0.26, 210
30218731, 239807.096572, 192.0.105.1, 128.0.0.26, 225
30218732, 239807.096575, 192.0.105.1, 128.0.0.26, 225
30218734, 239807.122810, 192.0.105.1, 128.0.0.26, 228
30218735, 239807.122813, 192.0.105.1, 128.0.0.26, 228
30218737, 239807.155914, 192.0.105.1, 128.0.0.26, 219
30218738, 239807.155917, 192.0.105.1, 128.0.0.26, 219
30218740, 239807.185770, 192.0.105.1, 128.0.0.26, 206
30218741, 239807.185778, 192.0.105.1, 128.0.0.26, 206
30218743, 239807.215766, 192.0.105.1, 128.0.0.26, 219
30218744, 239807.215768, 192.0.105.1, 128.0.0.26, 219
30218746, 239807.248859, 192.0.105.1, 128.0.0.26, 230
30218747, 239807.248862, 192.0.105.1, 128.0.0.26, 230
30218748, 239807.271970, 192.0.105.1, 128.0.0.26, 212
30218749, 239807.271973, 192.0.105.1, 128.0.0.26, 212
30218751, 239807.304950, 192.0.105.1, 128.0.0.26, 192
30218752, 239807.304953, 192.0.105.1, 128.0.0.26, 192
30218756, 239807.361419, 192.0.105.1, 128.0.0.26, 198
