33631257, 273109.774328, 192.0.117.1, 128.0.0.80, 65
33631258, 273109.774331, 192.0.117.1, 128.0.0.80, 65
33633883, 273129.123810, 192.0.117.1, 128.0.0.80, 65
33633884, 273129.123818, 192.0.117.1, 128.0.0.80, 65
33636578, 273149.101532, 192.0.117.1, 128.0.0.80, 65
33636579, 273149.101534, 192.0.117.1, 128.0.0.80, 65
33639280, 273169.128599, 192.0.117.1, 128.0.0.80, 65
33639281, 273169.128602, 192.0.117.1, 128.0.0.80, 65
33641964, 273189.115078, 192.0.117.1, 128.0.0.80, 65
33641965, 273189.115085, 192.0.117.1, 128.0.0.80, 65
33644671, 273209.099044, 192.0.117.1, 128.0.0.80, 65
33644672, 273209.099056, 192.0.117.1, 128.0.0.80, 65
33647366, 273229.102139, 192.0.117.1, 128.0.0.80, 65
33647367, 273229.102144, 192.0.117.1, 128.0.0.80, 65
33650076, 273249.144816, 192.0.117.1, 128.0.0.80, 65
33650077, 273249.144825, 192.0.117.1, 128.0.0.80, 65
33652782, 273269.130162, 192.0.117.1, 128.0.0.80, 65
33652783, 273269.130181, 192.0.117.1, 128.0.0.80, 65
33655083, 273286.008409, 192.0.117.1, 128.0.0.80, 101
33655084, 273286.008415, 192.0.117.1, 128.0.0.80, 101
33655086, 273286.022526, 192.0.117.1, 128.0.0.80, 98
33655087, 273286.022542, 192.0.117.1, 128.0.0.80, 98
33655095, 273286.067352, 192.0.117.1, 128.0.0.80, 126
33655096, 273286.067357, 192.0.117.1, 128.0.0.80, 126
33655097, 273286.086354, 192.0.117.1, 128.0.0.80, 139
33655098, 273286.086357, 192.0.117.1, 128.0.0.80, 139
33655106, 273286.112312, 192.0.117.1, 128.0.0.80, 105
33655107, 273286.112317, 192.0.117.1, 128.0.0.80, 105
33655111, 273286.144069, 192.0.117.1, 128.0.0.80, 97
33655112, 273286.144074, 192.0.117.1, 128.0.0.80, 97
33655120, 273286.172059, 192.0.117.1, 128.0.0.80, 136
33655121, 273286.172062, 192.0.117.1, 128.0.0.80, 136
33655130, 273286.214265, 192.0.117.1, 128.0.0.80, 124
33655131, 273286.214268, 192.0.117.1, 128.0.0.80, 124
33655137, 273286.240518, 192.0.117.1, 128.0.0.80, 122
33655138, 273286.240617, 192.0.117.1, 128.0.0.80, 122
33655145, 273286.266466, 192.0.117.1, 128.0.0.80, 138
33655146, 273286.266469, 192.0.117.1, 128.0.0.80, 138
33655153, 273286.296075, 192.0.117.1, 128.0.0.80, 129
33655154, 273286.296088, 192.0.117.1, 128.0.0.80, 129
33655161, 273286.327310, 192.0.117.1, 128.0.0.80, 104
33655162, 273286.327442, 192.0.117.1, 128.0.0.80, 104
33655168, 273286.360164, 192.0.117.1, 128.0.0.80, 125
33655169, 273286.360176, 192.0.117.1, 128.0.0.80, 125
33655173, 273286.385784, 192.0.117.1, 128.0.0.80, 123
33655175, 273286.385793, 192.0.117.1, 128.0.0.80, 123
33655179, 273286.416031, 192.0.117.1, 128.0.0.80, 118
33655180, 273286.416034, 192.0.117.1, 128.0.0.80, 118
33655187, 273286.445120, 192.0.117.1, 128.0.0.80, 129
33655188, 273286.445125, 192.0.117.1, 128.0.0.80, 129
33655195, 273286.474629, 192.0.117.1, 128.0.0.80, 135
33655196, 273286.474632, 192.0.117.1, 128.0.0.80, 135
33655203, 273286.504073, 192.0.117.1, 128.0.0.80, 136
33655204, 273286.504077, 192.0.117.1, 128.0.0.80, 136
33655211, 273286.534182, 192.0.117.1, 128.0.0.80, 118
33655212, 273286.534191, 192.0.117.1, 128.0.0.80, 118
33655219, 273286.564290, 192.0.117.1, 128.0.0.80, 97
33655220, 273286.564293, 192.0.117.1, 128.0.0.80, 97
33655226, 273286.594160, 192.0.117.1, 128.0.0.80, 98
33655227, 273286.594163, 192.0.117.1, 128.0.0.80, 98
33655234, 273286.625004, 192.0.117.1, 128.0.0.80, 131
33655235, 273286.625012, 192.0.117.1, 128.0.0.80, 131
33655241, 273286.655111, 192.0.117.1, 128.0.0.80, 133
33655242, 273286.655121, 192.0.117.1, 128.0.0.80, 133
33655246, 273286.683371, 192.0.117.1, 128.0.0.80, 136
33655247, 273286.683379, 192.0.117.1, 128.0.0.80, 136
33655256, 273286.712338, 192.0.117.1, 128.0.0.80, 118
33655257, 273286.712348, 192.0.117.1, 128.0.0.80, 118
33655262, 273286.742690, 192.0.117.1, 128.0.0.80, 124
33655263, 273286.742704, 192.0.117.1, 128.0.0.80, 124
33655270, 273286.775792, 192.0.117.1, 128.0.0.80, 120
33655271, 273286.775800, 192.0.117.1, 128.0.0.80, 120
33655276, 273286.802275, 192.0.117.1, 128.0.0.80, 114
33655277, 273286.802282, 192.0.117.1, 128.0.0.80, 114
33655283, 273286.832757, 192.0.117.1, 128.0.0.80, 121
33655284, 273286.832762, 192.0.117.1, 128.0.0.80, 121
33655287, 273286.862864, 192.0.117.1, 128.0.0.80, 105
33655288, 273286.862870, 192.0.117.1, 128.0.0.80, 105
33655297, 273286.893235, 192.0.117.1, 128.0.0.80, 106
33655298, 273286.893243, 192.0.117.1, 128.0.0.80, 106
33655302, 273286.922338, 192.0.117.1, 128.0.0.80, 132
33655303, 273286.922346, 192.0.117.1, 128.0.0.80, 132
33655312, 273286.956929, 192.0.117.1, 128.0.0.80, 122
33655313, 273286.956937, 192.0.117.1, 128.0.0.80, 122
33655319, 273286.986669, 192.0.117.1, 128.0.0.80, 105
33655320, 273286.986675, 192.0.117.1, 128.0.0.80, 105
33655326, 273287.016392, 192.0.117.1, 128.0.0.80, 88
33655327, 273287.016395, 192.0.117.1, 128.0.0.80, 88
33655335, 273287.045760, 192.0.117.1, 128.0.0.80, 96
33655336, 273287.045883, 192.0.117.1, 128.0.0.80, 96
33655343, 273287.083253, 192.0.117.1, 128.0.0.80, 91
33655344, 273287.083256, 192.0.117.1, 128.0.0.80, 91
33655348, 273287.106849, 192.0.117.1, 128.0.0.80, 144
33655349, 273287.106852, 192.0.117.1, 128.0.0.80, 144
33655356, 273287.136077, 192.0.117.1, 128.0.0.80, 118
33655357, 273287.136080, 192.0.117.1, 128.0.0.80, 118
33655363, 273287.175569, 192.0.117.1, 128.0.0.80, 118
33655364, 273287.175571, 192.0.117.1, 128.0.0.80, 118
33655368, 273287.194540, 192.0.117.1, 128.0.0.80, 127
33655369, 273287.194543, 192.0.117.1, 128.0.0.80, 127
33655376, 273287.225025, 192.0.117.1, 128.0.0.80, 125
33655377, 273287.225033, 192.0.117.1, 128.0.0.80, 125
33655383, 273287.262503, 192.0.117.1, 128.0.0.80, 110
33655384, 273287.262511, 192.0.117.1, 128.0.0.80, 110
33655391, 273287.285239, 192.0.117.1, 128.0.0.80, 135
33655392, 273287.285248, 192.0.117.1, 128.0.0.80, 135
33655399, 273287.315212, 192.0.117.1, 128.0.0.80, 117
33655400, 273287.315218, 192.0.117.1, 128.0.0.80, 117
33655407, 273287.355338, 192.0.117.1, 128.0.0.80, 94
33655408, 273287.355343, 192.0.117.1, 128.0.0.80, 94
33655412, 273287.374302, 192.0.117.1, 128.0.0.80, 130
33655413, 273287.374305, 192.0.117.1, 128.0.0.80, 130
33655417, 273287.405035, 192.0.117.1, 128.0.0.80, 117
33655418, 273287.405043, 192.0.117.1, 128.0.0.80, 117
33655425, 273287.441138, 192.0.117.1, 128.0.0.80, 128
33655426, 273287.441144, 192.0.117.1, 128.0.0.80, 128
33655433, 273287.464009, 192.0.117.1, 128.0.0.80, 117
33655434, 273287.464014, 192.0.117.1, 128.0.0.80, 117
33655439, 273287.494481, 192.0.117.1, 128.0.0.80, 140
33655440, 273287.494492, 192.0.117.1, 128.0.0.80, 140
33655448, 273287.530336, 192.0.117.1, 128.0.0.80, 130
33655449, 273287.530339, 192.0.117.1, 128.0.0.80, 130
33655455, 273287.552708, 192.0.117.1, 128.0.0.80, 124
33655456, 273287.552716, 192.0.117.1, 128.0.0.80, 124
33655461, 273287.583056, 192.0.117.1, 128.0.0.80, 99
33655462, 273287.583064, 192.0.117.1, 128.0.0.80, 99
33655470, 273287.612686, 192.0.117.1, 128.0.0.80, 128
33655471, 273287.612689, 192.0.117.1, 128.0.0.80, 128
33655475, 273287.642792, 192.0.117.1, 128.0.0.80, 134
33655476, 273287.642797, 192.0.117.1, 128.0.0.80, 134
33655483, 273287.675149, 192.0.117.1, 128.0.0.80, 136
33655484, 273287.675151, 192.0.117.1, 128.0.0.80, 136
33655491, 273287.710347, 192.0.117.1, 128.0.0.80, 133
33655492, 273287.710351, 192.0.117.1, 128.0.0.80, 133
33655499, 273287.736214, 192.0.117.1, 128.0.0.80, 141
33655500, 273287.736217, 192.0.117.1, 128.0.0.80, 141
33655506, 273287.767074, 192.0.117.1, 128.0.0.80, 101
33655507, 273287.767191, 192.0.117.1, 128.0.0.80, 101
33655513, 273287.798048, 192.0.117.1, 128.0.0.80, 110
33655514, 273287.798054, 192.0.117.1, 128.0.0.80, 110
33655519, 273287.826796, 192.0.117.1, 128.0.0.80, 104
33655520, 273287.826799, 192.0.117.1, 128.0.0.80, 104
