31332318, 261423.796776, 192.0.113.1, 128.0.0.40, 64
31332319, 261423.796779, 192.0.113.1, 128.0.0.40, 64
31332320, 261423.796781, 192.0.113.1, 128.0.0.40, 64
31332351, 261434.369527, 192.0.113.1, 128.0.0.40, 138
31332352, 261434.369533, 192.0.113.1, 128.0.0.40, 138
31332353, 261434.369536, 192.0.113.1, 128.0.0.40, 138
31332357, 261434.447512, 192.0.113.1, 128.0.0.40, 126
31332358, 261434.447514, 192.0.113.1, 128.0.0.40, 126
31332359, 261434.447517, 192.0.113.1, 128.0.0.40, 126
31332363, 261434.513558, 192.0.113.1, 128.0.0.40, 126
31332364, 261434.513560, 192.0.113.1, 128.0.0.40, 126
31332365, 261434.513563, 192.0.113.1, 128.0.0.40, 126
31332369, 261434.554286, 192.0.113.1, 128.0.0.40, 127
31332370, 261434.554288, 192.0.113.1, 128.0.0.40, 127
31332371, 261434.554291, 192.0.113.1, 128.0.0.40, 127
31332375, 261434.659715, 192.0.113.1, 128.0.0.40, 228
31332376, 261434.659719, 192.0.113.1, 128.0.0.40, 228
31332377, 261434.659723, 192.0.113.1, 128.0.0.40, 228
31332381, 261434.712314, 192.0.113.1, 128.0.0.40, 218
31332382, 261434.712324, 192.0.113.1, 128.0.0.40, 218
31332383, 261434.712327, 192.0.113.1, 128.0.0.40, 218
31332387, 261434.770532, 192.0.113.1, 128.0.0.40, 213
31332388, 261434.770535, 192.0.113.1, 128.0.0.40, 213
31332389, 261434.770538, 192.0.113.1, 128.0.0.40, 213
31332393, 261434.791906, 192.0.113.1, 128.0.0.40, 211
31332394, 261434.791909, 192.0.113.1, 128.0.0.40, 211
31332395, 261434.791911, 192.0.113.1, 128.0.0.40, 211
31332402, 261434.905575, 192.0.113.1, 128.0.0.40, 216
31332403, 261434.905577, 192.0.113.1, 128.0.0.40, 216
31332404, 261434.905580, 192.0.113.1, 128.0.0.40, 216
31332405, 261434.917569, 192.0.113.1, 128.0.0.40, 214
31332406, 261434.917571, 192.0.113.1, 128.0.0.40, 214
31332407, 261434.917574, 192.0.113.1, 128.0.0.40, 214
31332411, 261434.998015, 192.0.113.1, 128.0.0.40, 216
31332412, 261434.998019, 192.0.113.1, 128.0.0.40, 216
31332413, 261434.998021, 192.0.113.1, 128.0.0.40, 216
31332423, 261435.162044, 192.0.113.1, 128.0.0.40, 219
31332424, 261435.162059, 192.0.113.1, 128.0.0.40, 219
31332425, 261435.162061, 192.0.113.1, 128.0.0.40, 219
31332426, 261435.180030, 192.0.113.1, 128.0.0.40, 214
31332427, 261435.180035, 192.0.113.1, 128.0.0.40, 214
31332428, 261435.180038, 192.0.113.1, 128.0.0.40, 214
31332432, 261435.249734, 192.0.113.1, 128.0.0.40, 211
31332433, 261435.249739, 192.0.113.1, 128.0.0.40, 211
31332434, 261435.249742, 192.0.113.1, 128.0.0.40, 211
31332441, 261435.317693, 192.0.113.1, 128.0.0.40, 218
31332442, 261435.317697, 192.0.113.1, 128.0.0.40, 218
31332443, 261435.317701, 192.0.113.1, 128.0.0.40, 218
31332445, 261435.366428, 192.0.113.1, 128.0.0.40, 216
31332446, 261435.366548, 192.0.113.1, 128.0.0.40, 216
31332447, 261435.366551, 192.0.113.1, 128.0.0.40, 216
31332454, 261435.439640, 192.0.113.1, 128.0.0.40, 209
31332455, 261435.439643, 192.0.113.1, 128.0.0.40, 209
31332456, 261435.439646, 192.0.113.1, 128.0.0.40, 209
31332460, 261435.523572, 192.0.113.1, 128.0.0.40, 204
31332461, 261435.523575, 192.0.113.1, 128.0.0.40, 204
31332462, 261435.523578, 192.0.113.1, 128.0.0.40, 204
31332466, 261435.573802, 192.0.113.1, 128.0.0.40, 200
31332467, 261435.573805, 192.0.113.1, 128.0.0.40, 200
31332468, 261435.573808, 192.0.113.1, 128.0.0.40, 200
31332472, 261435.619887, 192.0.113.1, 128.0.0.40, 213
31332473, 261435.619890, 192.0.113.1, 128.0.0.40, 213
31332474, 261435.619893, 192.0.113.1, 128.0.0.40, 213
31332475, 261435.627782, 192.0.113.1, 128.0.0.40, 206
31332476, 261435.627785, 192.0.113.1, 128.0.0.40, 206
31332477, 261435.627788, 192.0.113.1, 128.0.0.40, 206
31332478, 261435.652132, 192.0.113.1, 128.0.0.40, 189
31332479, 261435.652134, 192.0.113.1, 128.0.0.40, 189
31332480, 261435.652137, 192.0.113.1, 128.0.0.40, 189
31332489, 261435.759939, 192.0.113.1, 128.0.0.40, 185
31332490, 261435.759947, 192.0.113.1, 128.0.0.40, 185
31332491, 261435.759950, 192.0.113.1, 128.0.0.40, 185
31332495, 261435.825664, 192.0.113.1, 128.0.0.40, 187
31332496, 261435.825667, 192.0.113.1, 128.0.0.40, 187
31332497, 261435.825670, 192.0.113.1, 128.0.0.40, 187
31332498, 261435.835882, 192.0.113.1, 128.0.0.40, 174
31332499, 261435.835885, 192.0.113.1, 128.0.0.40, 174
31332500, 261435.835888, 192.0.113.1, 128.0.0.40, 174
31332501, 261435.852384, 192.0.113.1, 128.0.0.40, 164
31332502, 261435.852394, 192.0.113.1, 128.0.0.40, 164
31332503, 261435.852397, 192.0.113.1, 128.0.0.40, 164
31332507, 261435.859617, 192.0.113.1, 128.0.0.40, 173
31332508, 261435.859620, 192.0.113.1, 128.0.0.40, 173
31332509, 261435.859623, 192.0.113.1, 128.0.0.40, 173
31332510, 261435.895846, 192.0.113.1, 128.0.0.40, 162
31332511, 261435.895849, 192.0.113.1, 128.0.0.40, 162
31332512, 261435.895852, 192.0.113.1, 128.0.0.40, 162
31332516, 261435.924220, 192.0.113.1, 128.0.0.40, 162
31332517, 261435.924223, 192.0.113.1, 128.0.0.40, 162
31332518, 261435.924225, 192.0.113.1, 128.0.0.40, 162
31332519, 261435.947694, 192.0.113.1, 128.0.0.40, 160
31332520, 261435.947700, 192.0.113.1, 128.0.0.40, 160
31332521, 261435.947702, 192.0.113.1, 128.0.0.40, 160
31332525, 261435.989670, 192.0.113.1, 128.0.0.40, 163
31332526, 261435.989673, 192.0.113.1, 128.0.0.40, 163
31332527, 261435.989675, 192.0.113.1, 128.0.0.40, 163
31332528, 261436.015912, 192.0.113.1, 128.0.0.40, 160
31332529, 261436.015914, 192.0.113.1, 128.0.0.40, 160
31332530, 261436.015918, 192.0.113.1, 128.0.0.40, 160
31332531, 261436.029536, 192.0.113.1, 128.0.0.40, 170
31332532, 261436.029539, 192.0.113.1, 128.0.0.40, 170
31332533, 261436.029542, 192.0.113.1, 128.0.0.40, 170
31332537, 261436.059627, 192.0.113.1, 128.0.0.40, 181
31332538, 261436.059630, 192.0.113.1, 128.0.0.40, 181
31332539, 261436.059633, 192.0.113.1, 128.0.0.40, 181
31332543, 261436.110246, 192.0.113.1, 128.0.0.40, 172
31332544, 261436.110249, 192.0.113.1, 128.0.0.40, 172
31332545, 261436.110251, 192.0.113.1, 128.0.0.40, 172
31332546, 261436.131958, 192.0.113.1, 128.0.0.40, 170
31332547, 261436.131968, 192.0.113.1, 128.0.0.40, 170
31332548, 261436.131971, 192.0.113.1, 128.0.0.40, 170
31332552, 261436.160192, 192.0.113.1, 128.0.0.40, 197
31332553, 261436.160203, 192.0.113.1, 128.0.0.40, 197
31332554, 261436.160205, 192.0.113.1, 128.0.0.40, 197
31332555, 261436.215917, 192.0.113.1, 128.0.0.40, 167
31332556, 261436.215925, 192.0.113.1, 128.0.0.40, 167
31332557, 261436.215928, 192.0.113.1, 128.0.0.40, 167
31332561, 261436.247892, 192.0.113.1, 128.0.0.40, 173
31332562, 261436.247895, 192.0.113.1, 128.0.0.40, 173
31332563, 261436.247898, 192.0.113.1, 128.0.0.40, 173
31332567, 261436.297233, 192.0.113.1, 128.0.0.40, 155
31332568, 261436.297242, 192.0.113.1, 128.0.0.40, 155
31332569, 261436.297244, 192.0.113.1, 128.0.0.40, 155
31332570, 261436.343702, 192.0.113.1, 128.0.0.40, 183
31332571, 261436.343705, 192.0.113.1, 128.0.0.40, 183
31332572, 261436.343707, 192.0.113.1, 128.0.0.40, 183
31332579, 261436.400925, 192.0.113.1, 128.0.0.40, 210
31332580, 261436.400927, 192.0.113.1, 128.0.0.40, 210
31332581, 261436.400930, 192.0.113.1, 128.0.0.40, 210
31332582, 261436.419905, 192.0.113.1, 128.0.0.40, 190
31332583, 261436.419908, 192.0.113.1, 128.0.0.40, 190
31332584, 261436.419910, 192.0.113.1, 128.0.0.40, 190
31332588, 261436.459511, 192.0.113.1, 128.0.0.40, 172
31332589, 261436.459514, 192.0.113.1, 128.0.0.40, 172
31332590, 261436.459517, 192.0.113.1, 128.0.0.40, 172
31332591, 261436.481621, 192.0.113.1, 128.0.0.40, 192
31332592, 261436.481624, 192.0.113.1, 128.0.0.40, 192
31332593, 261436.481628, 192.0.113.1, 128.0.0.40, 192
31332597, 261436.529717, 192.0.113.1, 128.0.0.40, 182
31332598, 261436.529720, 192.0.113.1, 128.0.0.40, 182
31332599, 261436.529723, 192.0.113.1, 128.0.0.40, 182
31332600, 261436.553830, 192.0.113.1, 128.0.0.40, 199
31332601, 261436.553835, 192.0.113.1, 128.0.0.40, 199
31332602, 261436.553837, 192.0.113.1, 128.0.0.40, 199
31332606, 261436.581814, 192.0.113.1, 128.0.0.40, 203
31332607, 261436.581822, 192.0.113.1, 128.0.0.40, 203
31332608, 261436.581825, 192.0.113.1, 128.0.0.40, 203
31332609, 261436.613538, 192.0.113.1, 128.0.0.40, 179
31332610, 261436.613542, 192.0.113.1, 128.0.0.40, 179
31332611, 261436.613544, 192.0.113.1, 128.0.0.40, 179
31332615, 261436.657543, 192.0.113.1, 128.0.0.40, 177
31332616, 261436.657545, 192.0.113.1, 128.0.0.40, 177
31332617, 261436.657548, 192.0.113.1, 128.0.0.40, 177
31332618, 261436.683752, 192.0.113.1, 128.0.0.40, 197
31332619, 261436.683755, 192.0.113.1, 128.0.0.40, 197
31332620, 261436.683757, 192.0.113.1, 128.0.0.40, 197
31332624, 261436.715987, 192.0.113.1, 128.0.0.40, 220
31332625, 261436.715990, 192.0.113.1, 128.0.0.40, 220
31332626, 261436.715993, 192.0.113.1, 128.0.0.40, 220
31332627, 261436.736106, 192.0.113.1, 128.0.0.40, 213
31332628, 261436.736111, 192.0.113.1, 128.0.0.40, 213
31332629, 261436.736114, 192.0.113.1, 128.0.0.40, 213
31332633, 261436.768074, 192.0.113.1, 128.0.0.40, 170
31332634, 261436.768079, 192.0.113.1, 128.0.0.40, 170
31332635, 261436.768082, 192.0.113.1, 128.0.0.40, 170
31332636, 261436.791684, 192.0.113.1, 128.0.0.40, 212
31332637, 261436.791686, 192.0.113.1, 128.0.0.40, 212
31332638, 261436.791689, 192.0.113.1, 128.0.0.40, 212
31332642, 261436.819688, 192.0.113.1, 128.0.0.40, 207
31332643, 261436.819690, 192.0.113.1, 128.0.0.40, 207
31332644, 261436.819693, 192.0.113.1, 128.0.0.40, 207
31332651, 261436.882006, 192.0.113.1, 128.0.0.40, 167
