30325677, 255835.551579, 192.0.109.1, 128.0.0.26, 65
30325678, 255835.551582, 192.0.109.1, 128.0.0.26, 65
30326408, 255855.919323, 192.0.109.1, 128.0.0.26, 65
30326409, 255855.919331, 192.0.109.1, 128.0.0.26, 65
30327094, 255875.937769, 192.0.109.1, 128.0.0.26, 65
30327095, 255875.937772, 192.0.109.1, 128.0.0.26, 65
30327787, 255895.907380, 192.0.109.1, 128.0.0.26, 65
30327788, 255895.907385, 192.0.109.1, 128.0.0.26, 65
30328514, 255915.923950, 192.0.109.1, 128.0.0.26, 65
30328515, 255915.923952, 192.0.109.1, 128.0.0.26, 65
30329210, 255935.938514, 192.0.109.1, 128.0.0.26, 65
30329211, 255935.938520, 192.0.109.1, 128.0.0.26, 65
30329912, 255955.938093, 192.0.109.1, 128.0.0.26, 65
30329913, 255955.938100, 192.0.109.1, 128.0.0.26, 65
30330630, 255975.923331, 192.0.109.1, 128.0.0.26, 65
30330631, 255975.923336, 192.0.109.1, 128.0.0.26, 65
30331329, 255995.908401, 192.0.109.1, 128.0.0.26, 65
30331330, 255995.908404, 192.0.109.1, 128.0.0.26, 65
30332030, 256015.924248, 192.0.109.1, 128.0.0.26, 65
30332031, 256015.924265, 192.0.109.1, 128.0.0.26, 65
30332752, 256035.924080, 192.0.109.1, 128.0.0.26, 65
30332753, 256035.924082, 192.0.109.1, 128.0.0.26, 65
30333431, 256055.914769, 192.0.109.1, 128.0.0.26, 65
30333432, 256055.914772, 192.0.109.1, 128.0.0.26, 65
30334157, 256075.925098, 192.0.109.1, 128.0.0.26, 65
30334158, 256075.925109, 192.0.109.1, 128.0.0.26, 65
30334853, 256095.909444, 192.0.109.1, 128.0.0.26, 65
30334854, 256095.909448, 192.0.109.1, 128.0.0.26, 65
30335546, 256115.919647, 192.0.109.1, 128.0.0.26, 65
30335547, 256115.919650, 192.0.109.1, 128.0.0.26, 65
30336767, 256135.921976, 192.0.109.1, 128.0.0.26, 65
30336768, 256135.921984, 192.0.109.1, 128.0.0.26, 65
30339694, 256155.920803, 192.0.109.1, 128.0.0.26, 65
30339695, 256155.920806, 192.0.109.1, 128.0.0.26, 65
30342930, 256175.921040, 192.0.109.1, 128.0.0.26, 65
30342931, 256175.921043, 192.0.109.1, 128.0.0.26, 65
30346226, 256195.937090, 192.0.109.1, 128.0.0.26, 65
30346227, 256195.937096, 192.0.109.1, 128.0.0.26, 65
30349373, 256215.906689, 192.0.109.1, 128.0.0.26, 65
30349374, 256215.906693, 192.0.109.1, 128.0.0.26, 65
30351438, 256228.498612, 192.0.109.1, 128.0.0.26, 127
30351439, 256228.498615, 192.0.109.1, 128.0.0.26, 127
30351454, 256228.564814, 192.0.109.1, 128.0.0.26, 124
30351455, 256228.564820, 192.0.109.1, 128.0.0.26, 124
30351469, 256228.620783, 192.0.109.1, 128.0.0.26, 123
30351470, 256228.620786, 192.0.109.1, 128.0.0.26, 123
30351485, 256228.681121, 192.0.109.1, 128.0.0.26, 130
30351486, 256228.681123, 192.0.109.1, 128.0.0.26, 130
30351501, 256228.743982, 192.0.109.1, 128.0.0.26, 209
30351502, 256228.743996, 192.0.109.1, 128.0.0.26, 209
30351516, 256228.803920, 192.0.109.1, 128.0.0.26, 202
30351517, 256228.803925, 192.0.109.1, 128.0.0.26, 202
30351531, 256228.860400, 192.0.109.1, 128.0.0.26, 198
30351532, 256228.860403, 192.0.109.1, 128.0.0.26, 198
30351543, 256228.920855, 192.0.109.1, 128.0.0.26, 209
30351544, 256228.920858, 192.0.109.1, 128.0.0.26, 209
30351560, 256228.980958, 192.0.109.1, 128.0.0.26, 198
30351561, 256228.980960, 192.0.109.1, 128.0.0.26, 198
30351574, 256229.040158, 192.0.109.1, 128.0.0.26, 207
30351575, 256229.040160, 192.0.109.1, 128.0.0.26, 207
30351587, 256229.098642, 192.0.109.1, 128.0.0.26, 208
30351588, 256229.098645, 192.0.109.1, 128.0.0.26, 208
30351604, 256229.163719, 192.0.109.1, 128.0.0.26, 197
30351605, 256229.163724, 192.0.109.1, 128.0.0.26, 197
30351617, 256229.219300, 192.0.109.1, 128.0.0.26, 211
30351618, 256229.219308, 192.0.109.1, 128.0.0.26, 211
30351632, 256229.284259, 192.0.109.1, 128.0.0.26, 207
30351633, 256229.284261, 192.0.109.1, 128.0.0.26, 207
30351646, 256229.337846, 192.0.109.1, 128.0.0.26, 196
30351647, 256229.337849, 192.0.109.1, 128.0.0.26, 196
30351661, 256229.402432, 192.0.109.1, 128.0.0.26, 191
30351662, 256229.402435, 192.0.109.1, 128.0.0.26, 191
30351676, 256229.461645, 192.0.109.1, 128.0.0.26, 203
30351677, 256229.461648, 192.0.109.1, 128.0.0.26, 203
30351690, 256229.521863, 192.0.109.1, 128.0.0.26, 196
30351691, 256229.521866, 192.0.109.1, 128.0.0.26, 196
30351706, 256229.581452, 192.0.109.1, 128.0.0.26, 197
