34927171, 278768.833257, 192.0.120.1, 128.0.0.137, 65
34927172, 278768.833260, 192.0.120.1, 128.0.0.137, 65
34937316, 278787.987149, 192.0.120.1, 128.0.0.137, 65
34937317, 278787.987152, 192.0.120.1, 128.0.0.137, 65
34944994, 278801.538260, 192.0.120.1, 128.0.0.137, 131
34944995, 278801.538262, 192.0.120.1, 128.0.0.137, 131
34945025, 278801.595836, 192.0.120.1, 128.0.0.137, 127
34945026, 278801.595841, 192.0.120.1, 128.0.0.137, 127
34945087, 278801.685532, 192.0.120.1, 128.0.0.137, 221
34945088, 278801.685535, 192.0.120.1, 128.0.0.137, 221
34945140, 278801.774480, 192.0.120.1, 128.0.0.137, 200
34945141, 278801.774487, 192.0.120.1, 128.0.0.137, 200
34945211, 278801.891809, 192.0.120.1, 128.0.0.137, 217
34945212, 278801.891812, 192.0.120.1, 128.0.0.137, 217
34945230, 278801.917014, 192.0.120.1, 128.0.0.137, 219
34945231, 278801.917017, 192.0.120.1, 128.0.0.137, 219
34945345, 278802.098535, 192.0.120.1, 128.0.0.137, 218
34945346, 278802.098543, 192.0.120.1, 128.0.0.137, 218
34945352, 278802.108403, 192.0.120.1, 128.0.0.137, 227
34945353, 278802.108408, 192.0.120.1, 128.0.0.137, 227
34945411, 278802.196976, 192.0.120.1, 128.0.0.137, 212
34945412, 278802.196979, 192.0.120.1, 128.0.0.137, 212
34945434, 278802.234458, 192.0.120.1, 128.0.0.137, 209
34945435, 278802.234460, 192.0.120.1, 128.0.0.137, 209
34945501, 278802.338021, 192.0.120.1, 128.0.0.137, 209
34945502, 278802.338026, 192.0.120.1, 128.0.0.137, 209
34945512, 278802.355258, 192.0.120.1, 128.0.0.137, 223
34945513, 278802.355263, 192.0.120.1, 128.0.0.137, 223
34945561, 278802.421720, 192.0.120.1, 128.0.0.137, 215
34945562, 278802.421723, 192.0.120.1, 128.0.0.137, 215
34945585, 278802.456948, 192.0.120.1, 128.0.0.137, 210
34945586, 278802.456950, 192.0.120.1, 128.0.0.137, 210
34945631, 278802.529275, 192.0.120.1, 128.0.0.137, 210
34945632, 278802.529283, 192.0.120.1, 128.0.0.137, 210
34945750, 278802.709182, 192.0.120.1, 128.0.0.137, 219
34945751, 278802.709191, 192.0.120.1, 128.0.0.137, 219
34945760, 278802.719678, 192.0.120.1, 128.0.0.137, 198
34945763, 278802.719694, 192.0.120.1, 128.0.0.137, 198
34945823, 278802.805359, 192.0.120.1, 128.0.0.137, 200
34945824, 278802.805364, 192.0.120.1, 128.0.0.137, 200
34945837, 278802.827375, 192.0.120.1, 128.0.0.137, 206
34945838, 278802.827386, 192.0.120.1, 128.0.0.137, 206
34945913, 278802.934165, 192.0.120.1, 128.0.0.137, 223
34945914, 278802.934173, 192.0.120.1, 128.0.0.137, 223
34945926, 278802.959019, 192.0.120.1, 128.0.0.137, 226
34945927, 278802.959027, 192.0.120.1, 128.0.0.137, 226
34946077, 278803.175143, 192.0.120.1, 128.0.0.137, 210
34946078, 278803.175145, 192.0.120.1, 128.0.0.137, 210
34946109, 278803.246593, 192.0.120.1, 128.0.0.137, 200
34946110, 278803.246601, 192.0.120.1, 128.0.0.137, 200
34946149, 278803.290438, 192.0.120.1, 128.0.0.137, 200
34946150, 278803.290441, 192.0.120.1, 128.0.0.137, 200
34946194, 278803.348787, 192.0.120.1, 128.0.0.137, 205
34946195, 278803.348790, 192.0.120.1, 128.0.0.137, 205
34946234, 278803.406394, 192.0.120.1, 128.0.0.137, 205
34946235, 278803.406397, 192.0.120.1, 128.0.0.137, 205
34946319, 278803.545675, 192.0.120.1, 128.0.0.137, 213
34946320, 278803.545793, 192.0.120.1, 128.0.0.137, 213
34946351, 278803.590510, 192.0.120.1, 128.0.0.137, 192
34946352, 278803.590518, 192.0.120.1, 128.0.0.137, 192
34946359, 278803.600527, 192.0.120.1, 128.0.0.137, 204
34946360, 278803.600531, 192.0.120.1, 128.0.0.137, 204
34946381, 278803.627769, 192.0.120.1, 128.0.0.137, 211
34946382, 278803.627776, 192.0.120.1, 128.0.0.137, 211
34946409, 278803.657619, 192.0.120.1, 128.0.0.137, 191
34946410, 278803.657627, 192.0.120.1, 128.0.0.137, 191
34946434, 278803.684701, 192.0.120.1, 128.0.0.137, 189
34946435, 278803.684704, 192.0.120.1, 128.0.0.137, 189
34946450, 278803.703581, 192.0.120.1, 128.0.0.137, 190
34946451, 278803.703584, 192.0.120.1, 128.0.0.137, 190
