31009331, 259384.757803, 192.0.112.1, 128.0.0.6, 124
31009332, 259384.757806, 192.0.112.1, 128.0.0.6, 124
31009346, 259384.840254, 192.0.112.1, 128.0.0.6, 424
31009347, 259384.840257, 192.0.112.1, 128.0.0.6, 424
31010115, 259392.964369, 192.0.112.1, 128.0.0.6, 124
31010116, 259392.964491, 192.0.112.1, 128.0.0.6, 124
31026830, 259573.107127, 192.0.112.1, 128.0.0.6, 124
31026831, 259573.107135, 192.0.112.1, 128.0.0.6, 124
31036279, 259676.361701, 192.0.112.1, 128.0.0.6, 129
31036280, 259676.361703, 192.0.112.1, 128.0.0.6, 129
31052962, 259863.592958, 192.0.112.1, 128.0.0.6, 124
31052963, 259863.592961, 192.0.112.1, 128.0.0.6, 124
31061167, 260044.048053, 192.0.112.1, 128.0.0.6, 124
31061168, 260044.048056, 192.0.112.1, 128.0.0.6, 124
31062654, 260066.080544, 192.0.112.1, 128.0.0.6, 70
31062655, 260066.080547, 192.0.112.1, 128.0.0.6, 70
31062656, 260066.496535, 192.0.112.1, 128.0.0.6, 70
31062657, 260066.496543, 192.0.112.1, 128.0.0.6, 70
31062659, 260066.558008, 192.0.112.1, 128.0.0.6, 94
31062660, 260066.558010, 192.0.112.1, 128.0.0.6, 94
31062663, 260066.621207, 192.0.112.1, 128.0.0.6, 82
31062664, 260066.621210, 192.0.112.1, 128.0.0.6, 82
31062666, 260066.629098, 192.0.112.1, 128.0.0.6, 68
31062667, 260066.629106, 192.0.112.1, 128.0.0.6, 68
31064499, 260086.110972, 192.0.112.1, 128.0.0.6, 60
31064500, 260086.110975, 192.0.112.1, 128.0.0.6, 60
31068487, 260106.147692, 192.0.112.1, 128.0.0.6, 60
31068488, 260106.147710, 192.0.112.1, 128.0.0.6, 60
31072461, 260126.170483, 192.0.112.1, 128.0.0.6, 60
31072462, 260126.170486, 192.0.112.1, 128.0.0.6, 60
31076454, 260146.221653, 192.0.112.1, 128.0.0.6, 60
31076455, 260146.221656, 192.0.112.1, 128.0.0.6, 60
31080428, 260166.242476, 192.0.112.1, 128.0.0.6, 60
31080429, 260166.242479, 192.0.112.1, 128.0.0.6, 60
31084435, 260186.282034, 192.0.112.1, 128.0.0.6, 60
31084436, 260186.282037, 192.0.112.1, 128.0.0.6, 60
