30217634, 233791.966592, 192.0.104.1, 128.0.0.38, 126
30217635, 233791.966595, 192.0.104.1, 128.0.0.38, 126
30217636, 233791.966597, 192.0.104.1, 128.0.0.38, 126
30217637, 233794.011986, 192.0.104.1, 128.0.0.38, 126
30217638, 233794.011989, 192.0.104.1, 128.0.0.38, 126
30217639, 233794.011991, 192.0.104.1, 128.0.0.38, 126
35000405, 278900.650338, 192.0.104.1, 128.0.0.38, 70
35000406, 278900.650340, 192.0.104.1, 128.0.0.38, 70
35000407, 278900.650342, 192.0.104.1, 128.0.0.38, 70
35000516, 278900.850235, 192.0.104.1, 128.0.0.38, 70
35000517, 278900.850241, 192.0.104.1, 128.0.0.38, 70
35000518, 278900.850243, 192.0.104.1, 128.0.0.38, 70
35000538, 278900.888943, 192.0.104.1, 128.0.0.38, 94
35000539, 278900.888954, 192.0.104.1, 128.0.0.38, 94
35000540, 278900.888957, 192.0.104.1, 128.0.0.38, 94
35000670, 278901.127803, 192.0.104.1, 128.0.0.38, 68
35000671, 278901.127808, 192.0.104.1, 128.0.0.38, 68
35000672, 278901.127811, 192.0.104.1, 128.0.0.38, 68
35005234, 278910.215457, 192.0.104.1, 128.0.0.38, 560
35005235, 278910.215460, 192.0.104.1, 128.0.0.38, 560
35005236, 278910.215462, 192.0.104.1, 128.0.0.38, 560
35005242, 278910.226575, 192.0.104.1, 128.0.0.38, 560
35005243, 278910.226578, 192.0.104.1, 128.0.0.38, 560
35005244, 278910.226581, 192.0.104.1, 128.0.0.38, 560
35005360, 278910.462684, 192.0.104.1, 128.0.0.38, 560
35005361, 278910.462687, 192.0.104.1, 128.0.0.38, 560
35005362, 278910.462691, 192.0.104.1, 128.0.0.38, 560
35005380, 278910.472696, 192.0.104.1, 128.0.0.38, 560
35005381, 278910.472698, 192.0.104.1, 128.0.0.38, 560
35005382, 278910.472701, 192.0.104.1, 128.0.0.38, 560
35005386, 278910.482563, 192.0.104.1, 128.0.0.38, 560
35005387, 278910.482565, 192.0.104.1, 128.0.0.38, 560
35005388, 278910.482568, 192.0.104.1, 128.0.0.38, 560
35005393, 278910.493667, 192.0.104.1, 128.0.0.38, 560
35005394, 278910.493669, 192.0.104.1, 128.0.0.38, 560
35005395, 278910.493672, 192.0.104.1, 128.0.0.38, 560
35005411, 278910.505162, 192.0.104.1, 128.0.0.38, 560
35005412, 278910.505165, 192.0.104.1, 128.0.0.38, 560
35005413, 278910.505168, 192.0.104.1, 128.0.0.38, 560
35005510, 278910.710676, 192.0.104.1, 128.0.0.38, 560
35005511, 278910.710678, 192.0.104.1, 128.0.0.38, 560
35005512, 278910.710680, 192.0.104.1, 128.0.0.38, 560
