30460342, 257534.048486, 192.0.111.1, 128.0.0.22, 63
30460343, 257534.048490, 192.0.111.1, 128.0.0.22, 63
30462257, 257553.890911, 192.0.111.1, 128.0.0.22, 63
30462258, 257553.890914, 192.0.111.1, 128.0.0.22, 63
30464145, 257573.919254, 192.0.111.1, 128.0.0.22, 63
30464146, 257573.919259, 192.0.111.1, 128.0.0.22, 63
30466034, 257593.979400, 192.0.111.1, 128.0.0.22, 63
30466035, 257593.979405, 192.0.111.1, 128.0.0.22, 63
30468477, 257614.066052, 192.0.111.1, 128.0.0.22, 63
30468478, 257614.066055, 192.0.111.1, 128.0.0.22, 63
30472303, 257633.956459, 192.0.111.1, 128.0.0.22, 63
30472304, 257633.956461, 192.0.111.1, 128.0.0.22, 63
30477947, 257653.942672, 192.0.111.1, 128.0.0.22, 63
30477948, 257653.942680, 192.0.111.1, 128.0.0.22, 63
30483833, 257673.916533, 192.0.111.1, 128.0.0.22, 63
30483834, 257673.916535, 192.0.111.1, 128.0.0.22, 63
30489672, 257693.900005, 192.0.111.1, 128.0.0.22, 63
30489673, 257693.900011, 192.0.111.1, 128.0.0.22, 63
30495513, 257713.943919, 192.0.111.1, 128.0.0.22, 63
30495514, 257713.943921, 192.0.111.1, 128.0.0.22, 63
30501329, 257733.985978, 192.0.111.1, 128.0.0.22, 63
30501330, 257733.985982, 192.0.111.1, 128.0.0.22, 63
30507000, 257753.932720, 192.0.111.1, 128.0.0.22, 63
30507001, 257753.932725, 192.0.111.1, 128.0.0.22, 63
30512726, 257773.959543, 192.0.111.1, 128.0.0.22, 63
30512727, 257773.959548, 192.0.111.1, 128.0.0.22, 63
30518337, 257793.900042, 192.0.111.1, 128.0.0.22, 63
30518338, 257793.900044, 192.0.111.1, 128.0.0.22, 63
30524033, 257813.899868, 192.0.111.1, 128.0.0.22, 63
30524034, 257813.899876, 192.0.111.1, 128.0.0.22, 63
30529906, 257833.994406, 192.0.111.1, 128.0.0.22, 63
30529907, 257833.994408, 192.0.111.1, 128.0.0.22, 63
30535679, 257853.896915, 192.0.111.1, 128.0.0.22, 63
30535680, 257853.896918, 192.0.111.1, 128.0.0.22, 63
30541544, 257873.916360, 192.0.111.1, 128.0.0.22, 63
30541545, 257873.916366, 192.0.111.1, 128.0.0.22, 63
30547413, 257894.008636, 192.0.111.1, 128.0.0.22, 63
30547414, 257894.008638, 192.0.111.1, 128.0.0.22, 63
30553122, 257913.902903, 192.0.111.1, 128.0.0.22, 63
30553123, 257913.902906, 192.0.111.1, 128.0.0.22, 63
30558777, 257933.901751, 192.0.111.1, 128.0.0.22, 63
30558778, 257933.901753, 192.0.111.1, 128.0.0.22, 63
30564406, 257953.940684, 192.0.111.1, 128.0.0.22, 63
30564407, 257953.940686, 192.0.111.1, 128.0.0.22, 63
30570116, 257973.974861, 192.0.111.1, 128.0.0.22, 63
30570117, 257973.974864, 192.0.111.1, 128.0.0.22, 63
30575951, 257993.938215, 192.0.111.1, 128.0.0.22, 63
30575952, 257993.938218, 192.0.111.1, 128.0.0.22, 63
