29231823, 200117.403331, 192.0.102.1, 128.0.0.16, 63
29231824, 200117.403335, 192.0.102.1, 128.0.0.16, 63
29231825, 200117.403337, 192.0.102.1, 128.0.0.16, 63
29232030, 200117.851441, 192.0.102.1, 128.0.0.16, 132
29232031, 200117.851444, 192.0.102.1, 128.0.0.16, 132
29232032, 200117.851446, 192.0.102.1, 128.0.0.16, 132
29232058, 200117.911403, 192.0.102.1, 128.0.0.16, 137
29232059, 200117.911405, 192.0.102.1, 128.0.0.16, 137
29232060, 200117.911408, 192.0.102.1, 128.0.0.16, 137
29232090, 200117.972870, 192.0.102.1, 128.0.0.16, 231
29232091, 200117.972873, 192.0.102.1, 128.0.0.16, 231
29232092, 200117.972876, 192.0.102.1, 128.0.0.16, 231
29232120, 200118.031208, 192.0.102.1, 128.0.0.16, 132
29232121, 200118.031211, 192.0.102.1, 128.0.0.16, 132
29232122, 200118.031214, 192.0.102.1, 128.0.0.16, 132
29232144, 200118.092170, 192.0.102.1, 128.0.0.16, 130
29232145, 200118.092173, 192.0.102.1, 128.0.0.16, 130
29232146, 200118.092176, 192.0.102.1, 128.0.0.16, 130
29232176, 200118.152260, 192.0.102.1, 128.0.0.16, 203
29232177, 200118.152266, 192.0.102.1, 128.0.0.16, 203
29232178, 200118.152269, 192.0.102.1, 128.0.0.16, 203
29232205, 200118.210349, 192.0.102.1, 128.0.0.16, 113
29232206, 200118.210355, 192.0.102.1, 128.0.0.16, 113
29232207, 200118.210357, 192.0.102.1, 128.0.0.16, 113
29232234, 200118.272058, 192.0.102.1, 128.0.0.16, 204
29232235, 200118.272063, 192.0.102.1, 128.0.0.16, 204
29232236, 200118.272068, 192.0.102.1, 128.0.0.16, 204
29232270, 200118.335269, 192.0.102.1, 128.0.0.16, 111
29232271, 200118.335273, 192.0.102.1, 128.0.0.16, 111
29232272, 200118.335275, 192.0.102.1, 128.0.0.16, 111
29232300, 200118.396483, 192.0.102.1, 128.0.0.16, 114
29232301, 200118.396486, 192.0.102.1, 128.0.0.16, 114
29232302, 200118.396489, 192.0.102.1, 128.0.0.16, 114
29232327, 200118.457946, 192.0.102.1, 128.0.0.16, 210
29232328, 200118.457949, 192.0.102.1, 128.0.0.16, 210
29232329, 200118.457952, 192.0.102.1, 128.0.0.16, 210
29232354, 200118.509171, 192.0.102.1, 128.0.0.16, 131
29232355, 200118.509177, 192.0.102.1, 128.0.0.16, 131
29232356, 200118.509180, 192.0.102.1, 128.0.0.16, 131
29232390, 200118.571880, 192.0.102.1, 128.0.0.16, 213
29232391, 200118.571882, 192.0.102.1, 128.0.0.16, 213
29232392, 200118.571885, 192.0.102.1, 128.0.0.16, 213
29232414, 200118.633607, 192.0.102.1, 128.0.0.16, 142
29232415, 200118.633609, 192.0.102.1, 128.0.0.16, 142
29232416, 200118.633612, 192.0.102.1, 128.0.0.16, 142
29232443, 200118.688556, 192.0.102.1, 128.0.0.16, 123
29232444, 200118.688560, 192.0.102.1, 128.0.0.16, 123
29232445, 200118.688564, 192.0.102.1, 128.0.0.16, 123
29232473, 200118.750645, 192.0.102.1, 128.0.0.16, 234
29232474, 200118.750650, 192.0.102.1, 128.0.0.16, 234
29232475, 200118.750655, 192.0.102.1, 128.0.0.16, 234
29232503, 200118.809613, 192.0.102.1, 128.0.0.16, 130
29232504, 200118.809615, 192.0.102.1, 128.0.0.16, 130
29232505, 200118.809618, 192.0.102.1, 128.0.0.16, 130
29232534, 200118.874944, 192.0.102.1, 128.0.0.16, 231
29232535, 200118.874949, 192.0.102.1, 128.0.0.16, 231
29232536, 200118.874952, 192.0.102.1, 128.0.0.16, 231
29232564, 200118.934550, 192.0.102.1, 128.0.0.16, 132
29232565, 200118.934554, 192.0.102.1, 128.0.0.16, 132
29232566, 200118.934557, 192.0.102.1, 128.0.0.16, 132
29232592, 200118.993374, 192.0.102.1, 128.0.0.16, 118
29232593, 200118.993378, 192.0.102.1, 128.0.0.16, 118
29232594, 200118.993382, 192.0.102.1, 128.0.0.16, 118
29232622, 200119.055463, 192.0.102.1, 128.0.0.16, 217
29232623, 200119.055469, 192.0.102.1, 128.0.0.16, 217
29232624, 200119.055471, 192.0.102.1, 128.0.0.16, 217
29232654, 200119.114175, 192.0.102.1, 128.0.0.16, 104
29232655, 200119.114178, 192.0.102.1, 128.0.0.16, 104
29232656, 200119.114181, 192.0.102.1, 128.0.0.16, 104
29232684, 200119.174910, 192.0.102.1, 128.0.0.16, 209
29232685, 200119.174913, 192.0.102.1, 128.0.0.16, 209
29232686, 200119.174915, 192.0.102.1, 128.0.0.16, 209
29232714, 200119.231606, 192.0.102.1, 128.0.0.16, 123
29232715, 200119.231610, 192.0.102.1, 128.0.0.16, 123
29232716, 200119.231613, 192.0.102.1, 128.0.0.16, 123
29232744, 200119.296572, 192.0.102.1, 128.0.0.16, 109
29232745, 200119.296575, 192.0.102.1, 128.0.0.16, 109
29232746, 200119.296577, 192.0.102.1, 128.0.0.16, 109
29232774, 200119.355793, 192.0.102.1, 128.0.0.16, 194
29232775, 200119.355802, 192.0.102.1, 128.0.0.16, 194
29232776, 200119.355804, 192.0.102.1, 128.0.0.16, 194
29232804, 200119.411497, 192.0.102.1, 128.0.0.16, 109
29232805, 200119.411500, 192.0.102.1, 128.0.0.16, 109
29232806, 200119.411503, 192.0.102.1, 128.0.0.16, 109
29232833, 200119.470964, 192.0.102.1, 128.0.0.16, 205
29232834, 200119.470967, 192.0.102.1, 128.0.0.16, 205
29232835, 200119.470970, 192.0.102.1, 128.0.0.16, 205
29232863, 200119.530050, 192.0.102.1, 128.0.0.16, 127
29232864, 200119.530054, 192.0.102.1, 128.0.0.16, 127
29232865, 200119.530057, 192.0.102.1, 128.0.0.16, 127
29232893, 200119.589519, 192.0.102.1, 128.0.0.16, 109
29232894, 200119.589526, 192.0.102.1, 128.0.0.16, 109
29232895, 200119.589529, 192.0.102.1, 128.0.0.16, 109
29232921, 200119.650603, 192.0.102.1, 128.0.0.16, 205
29232922, 200119.650606, 192.0.102.1, 128.0.0.16, 205
29232923, 200119.650608, 192.0.102.1, 128.0.0.16, 205
29232951, 200119.709691, 192.0.102.1, 128.0.0.16, 111
29232952, 200119.709695, 192.0.102.1, 128.0.0.16, 111
29232953, 200119.709697, 192.0.102.1, 128.0.0.16, 111
29232982, 200119.771543, 192.0.102.1, 128.0.0.16, 205
29232983, 200119.771546, 192.0.102.1, 128.0.0.16, 205
29232984, 200119.771548, 192.0.102.1, 128.0.0.16, 205
29233012, 200119.830134, 192.0.102.1, 128.0.0.16, 105
29233013, 200119.830139, 192.0.102.1, 128.0.0.16, 105
29233014, 200119.830141, 192.0.102.1, 128.0.0.16, 105
29233042, 200119.889463, 192.0.102.1, 128.0.0.16, 104
29233043, 200119.889468, 192.0.102.1, 128.0.0.16, 104
29233044, 200119.889471, 192.0.102.1, 128.0.0.16, 104
29233074, 200119.950673, 192.0.102.1, 128.0.0.16, 179
29233075, 200119.950679, 192.0.102.1, 128.0.0.16, 179
29233076, 200119.950683, 192.0.102.1, 128.0.0.16, 179
29233104, 200120.010146, 192.0.102.1, 128.0.0.16, 111
29233105, 200120.010155, 192.0.102.1, 128.0.0.16, 111
29233106, 200120.010157, 192.0.102.1, 128.0.0.16, 111
29233134, 200120.071479, 192.0.102.1, 128.0.0.16, 180
29233135, 200120.071487, 192.0.102.1, 128.0.0.16, 180
29233136, 200120.071489, 192.0.102.1, 128.0.0.16, 180
29233164, 200120.131816, 192.0.102.1, 128.0.0.16, 102
29233165, 200120.131822, 192.0.102.1, 128.0.0.16, 102
29233166, 200120.131825, 192.0.102.1, 128.0.0.16, 102
29233196, 200120.192659, 192.0.102.1, 128.0.0.16, 179
29233197, 200120.192672, 192.0.102.1, 128.0.0.16, 179
29233198, 200120.192675, 192.0.102.1, 128.0.0.16, 179
29233220, 200120.251747, 192.0.102.1, 128.0.0.16, 108
29233221, 200120.251755, 192.0.102.1, 128.0.0.16, 108
29233222, 200120.251757, 192.0.102.1, 128.0.0.16, 108
29233256, 200120.314961, 192.0.102.1, 128.0.0.16, 174
29233257, 200120.314964, 192.0.102.1, 128.0.0.16, 174
29233258, 200120.314966, 192.0.102.1, 128.0.0.16, 174
29233286, 200120.374671, 192.0.102.1, 128.0.0.16, 112
29233287, 200120.374676, 192.0.102.1, 128.0.0.16, 112
29233288, 200120.374678, 192.0.102.1, 128.0.0.16, 112
29233311, 200120.432763, 192.0.102.1, 128.0.0.16, 193
29233312, 200120.432766, 192.0.102.1, 128.0.0.16, 193
29233313, 200120.432768, 192.0.102.1, 128.0.0.16, 193
29233344, 200120.492347, 192.0.102.1, 128.0.0.16, 108
29233345, 200120.492352, 192.0.102.1, 128.0.0.16, 108
29233346, 200120.492355, 192.0.102.1, 128.0.0.16, 108
29233373, 200120.553185, 192.0.102.1, 128.0.0.16, 195
29233374, 200120.553187, 192.0.102.1, 128.0.0.16, 195
29233375, 200120.553190, 192.0.102.1, 128.0.0.16, 195
29233403, 200120.614397, 192.0.102.1, 128.0.0.16, 112
29233404, 200120.614400, 192.0.102.1, 128.0.0.16, 112
29233405, 200120.614402, 192.0.102.1, 128.0.0.16, 112
29233434, 200120.676364, 192.0.102.1, 128.0.0.16, 185
29233435, 200120.676371, 192.0.102.1, 128.0.0.16, 185
29233436, 200120.676374, 192.0.102.1, 128.0.0.16, 185
29233460, 200120.731328, 192.0.102.1, 128.0.0.16, 115
29233461, 200120.731331, 192.0.102.1, 128.0.0.16, 115
29233462, 200120.731333, 192.0.102.1, 128.0.0.16, 115
29233488, 200120.795789, 192.0.102.1, 128.0.0.16, 180
29233489, 200120.795792, 192.0.102.1, 128.0.0.16, 180
29233490, 200120.795795, 192.0.102.1, 128.0.0.16, 180
29233526, 200120.856627, 192.0.102.1, 128.0.0.16, 102
29233527, 200120.856630, 192.0.102.1, 128.0.0.16, 102
29233528, 200120.856632, 192.0.102.1, 128.0.0.16, 102
29233556, 200120.914217, 192.0.102.1, 128.0.0.16, 172
29233557, 200120.914221, 192.0.102.1, 128.0.0.16, 172
29233558, 200120.914223, 192.0.102.1, 128.0.0.16, 172
29233586, 200120.977678, 192.0.102.1, 128.0.0.16, 113
29233587, 200120.977682, 192.0.102.1, 128.0.0.16, 113
29233588, 200120.977685, 192.0.102.1, 128.0.0.16, 113
29233616, 200121.035145, 192.0.102.1, 128.0.0.16, 183
29233617, 200121.035149, 192.0.102.1, 128.0.0.16, 183
29233618, 200121.035153, 192.0.102.1, 128.0.0.16, 183
29233640, 200121.095739, 192.0.102.1, 128.0.0.16, 109
29233641, 200121.095741, 192.0.102.1, 128.0.0.16, 109
29233642, 200121.095744, 192.0.102.1, 128.0.0.16, 109
29233670, 200121.153087, 192.0.102.1, 128.0.0.16, 187
29233671, 200121.153090, 192.0.102.1, 128.0.0.16, 187
29233672, 200121.153093, 192.0.102.1, 128.0.0.16, 187
29233703, 200121.217664, 192.0.102.1, 128.0.0.16, 104
29233704, 200121.217667, 192.0.102.1, 128.0.0.16, 104
29233705, 200121.217669, 192.0.102.1, 128.0.0.16, 104
29233730, 200121.275126, 192.0.102.1, 128.0.0.16, 182
29233731, 200121.275132, 192.0.102.1, 128.0.0.16, 182
29233732, 200121.275135, 192.0.102.1, 128.0.0.16, 182
29233760, 200121.330734, 192.0.102.1, 128.0.0.16, 108
29233761, 200121.330737, 192.0.102.1, 128.0.0.16, 108
29233762, 200121.330739, 192.0.102.1, 128.0.0.16, 108
29233790, 200121.393054, 192.0.102.1, 128.0.0.16, 176
29233791, 200121.393057, 192.0.102.1, 128.0.0.16, 176
29233792, 200121.393060, 192.0.102.1, 128.0.0.16, 176
29233820, 200121.452268, 192.0.102.1, 128.0.0.16, 106
29233821, 200121.452272, 192.0.102.1, 128.0.0.16, 106
29233822, 200121.452276, 192.0.102.1, 128.0.0.16, 106
29233853, 200121.512982, 192.0.102.1, 128.0.0.16, 176
29233854, 200121.512987, 192.0.102.1, 128.0.0.16, 176
29233855, 200121.512990, 192.0.102.1, 128.0.0.16, 176
29233886, 200121.572209, 192.0.102.1, 128.0.0.16, 106
29233887, 200121.572212, 192.0.102.1, 128.0.0.16, 106
29233888, 200121.572214, 192.0.102.1, 128.0.0.16, 106
29233916, 200121.633790, 192.0.102.1, 128.0.0.16, 180
29233917, 200121.633793, 192.0.102.1, 128.0.0.16, 180
29233918, 200121.633796, 192.0.102.1, 128.0.0.16, 180
29233944, 200121.694748, 192.0.102.1, 128.0.0.16, 112
29233945, 200121.694751, 192.0.102.1, 128.0.0.16, 112
29233946, 200121.694753, 192.0.102.1, 128.0.0.16, 112
29233974, 200121.756842, 192.0.102.1, 128.0.0.16, 184
29233975, 200121.756845, 192.0.102.1, 128.0.0.16, 184
29233976, 200121.756848, 192.0.102.1, 128.0.0.16, 184
29234005, 200121.816688, 192.0.102.1, 128.0.0.16, 101
29234006, 200121.816690, 192.0.102.1, 128.0.0.16, 101
29234007, 200121.816693, 192.0.102.1, 128.0.0.16, 101
29234033, 200121.875514, 192.0.102.1, 128.0.0.16, 184
29234034, 200121.875517, 192.0.102.1, 128.0.0.16, 184
29234035, 200121.875520, 192.0.102.1, 128.0.0.16, 184
29234065, 200121.936855, 192.0.102.1, 128.0.0.16, 111
29234066, 200121.936857, 192.0.102.1, 128.0.0.16, 111
29234067, 200121.936860, 192.0.102.1, 128.0.0.16, 111
29234093, 200121.995566, 192.0.102.1, 128.0.0.16, 117
29234094, 200121.995570, 192.0.102.1, 128.0.0.16, 117
29234095, 200121.995572, 192.0.102.1, 128.0.0.16, 117
29234124, 200122.058154, 192.0.102.1, 128.0.0.16, 183
29234125, 200122.058157, 192.0.102.1, 128.0.0.16, 183
29234126, 200122.058160, 192.0.102.1, 128.0.0.16, 183
29234153, 200122.115501, 192.0.102.1, 128.0.0.16, 110
29234154, 200122.115506, 192.0.102.1, 128.0.0.16, 110
29234155, 200122.115509, 192.0.102.1, 128.0.0.16, 110
29234183, 200122.176586, 192.0.102.1, 128.0.0.16, 110
29234184, 200122.176588, 192.0.102.1, 128.0.0.16, 110
29234185, 200122.176591, 192.0.102.1, 128.0.0.16, 110
29234213, 200122.235921, 192.0.102.1, 128.0.0.16, 184
29234214, 200122.235924, 192.0.102.1, 128.0.0.16, 184
29234215, 200122.235927, 192.0.102.1, 128.0.0.16, 184
29234243, 200122.293888, 192.0.102.1, 128.0.0.16, 128
29234244, 200122.293894, 192.0.102.1, 128.0.0.16, 128
29234245, 200122.293897, 192.0.102.1, 128.0.0.16, 128
29234273, 200122.355481, 192.0.102.1, 128.0.0.16, 118
29234274, 200122.355484, 192.0.102.1, 128.0.0.16, 118
29234275, 200122.355487, 192.0.102.1, 128.0.0.16, 118
29234303, 200122.414068, 192.0.102.1, 128.0.0.16, 208
29234304, 200122.414071, 192.0.102.1, 128.0.0.16, 208
29234305, 200122.414073, 192.0.102.1, 128.0.0.16, 208
29234333, 200122.472404, 192.0.102.1, 128.0.0.16, 124
29234334, 200122.472408, 192.0.102.1, 128.0.0.16, 124
29234335, 200122.472411, 192.0.102.1, 128.0.0.16, 124
29234363, 200122.532148, 192.0.102.1, 128.0.0.16, 116
29234364, 200122.532151, 192.0.102.1, 128.0.0.16, 116
29234365, 200122.532154, 192.0.102.1, 128.0.0.16, 116
29234393, 200122.594459, 192.0.102.1, 128.0.0.16, 202
29234394, 200122.594465, 192.0.102.1, 128.0.0.16, 202
29234395, 200122.594467, 192.0.102.1, 128.0.0.16, 202
29234425, 200122.652422, 192.0.102.1, 128.0.0.16, 118
29234426, 200122.652425, 192.0.102.1, 128.0.0.16, 118
29234427, 200122.652428, 192.0.102.1, 128.0.0.16, 118
29234451, 200122.711760, 192.0.102.1, 128.0.0.16, 120
29234452, 200122.711763, 192.0.102.1, 128.0.0.16, 120
29234453, 200122.711765, 192.0.102.1, 128.0.0.16, 120
29234479, 200122.772481, 192.0.102.1, 128.0.0.16, 196
29234480, 200122.772492, 192.0.102.1, 128.0.0.16, 196
29234481, 200122.772495, 192.0.102.1, 128.0.0.16, 196
29234502, 200122.831688, 192.0.102.1, 128.0.0.16, 113
29234503, 200122.831691, 192.0.102.1, 128.0.0.16, 113
29234504, 200122.831694, 192.0.102.1, 128.0.0.16, 113
29234530, 200122.894276, 192.0.102.1, 128.0.0.16, 112
29234531, 200122.894279, 192.0.102.1, 128.0.0.16, 112
29234532, 200122.894281, 192.0.102.1, 128.0.0.16, 112
29234559, 200122.953251, 192.0.102.1, 128.0.0.16, 194
29234560, 200122.953257, 192.0.102.1, 128.0.0.16, 194
29234561, 200122.953260, 192.0.102.1, 128.0.0.16, 194
29234595, 200123.011708, 192.0.102.1, 128.0.0.16, 121
29234596, 200123.011711, 192.0.102.1, 128.0.0.16, 121
29234597, 200123.011713, 192.0.102.1, 128.0.0.16, 121
29234619, 200123.072805, 192.0.102.1, 128.0.0.16, 119
29234620, 200123.072810, 192.0.102.1, 128.0.0.16, 119
29234621, 200123.072813, 192.0.102.1, 128.0.0.16, 119
29234653, 200123.137130, 192.0.102.1, 128.0.0.16, 195
29234654, 200123.137133, 192.0.102.1, 128.0.0.16, 195
29234655, 200123.137136, 192.0.102.1, 128.0.0.16, 195
29234682, 200123.189108, 192.0.102.1, 128.0.0.16, 118
29234683, 200123.189111, 192.0.102.1, 128.0.0.16, 118
29234684, 200123.189114, 192.0.102.1, 128.0.0.16, 118
29234707, 200123.253188, 192.0.102.1, 128.0.0.16, 121
29234708, 200123.253190, 192.0.102.1, 128.0.0.16, 121
29234709, 200123.253193, 192.0.102.1, 128.0.0.16, 121
29234737, 200123.316416, 192.0.102.1, 128.0.0.16, 226
29234738, 200123.316421, 192.0.102.1, 128.0.0.16, 226
29234739, 200123.316424, 192.0.102.1, 128.0.0.16, 226
29234772, 200123.369118, 192.0.102.1, 128.0.0.16, 138
29234773, 200123.369120, 192.0.102.1, 128.0.0.16, 138
29234774, 200123.369123, 192.0.102.1, 128.0.0.16, 138
29234797, 200123.431453, 192.0.102.1, 128.0.0.16, 133
