28564247, 197967.437075, 192.0.100.1, 128.0.0.52, 63
28564248, 197967.437077, 192.0.100.1, 128.0.0.52, 63
28570861, 197987.261387, 192.0.100.1, 128.0.0.52, 63
28570862, 197987.261393, 192.0.100.1, 128.0.0.52, 63
28577553, 198007.242100, 192.0.100.1, 128.0.0.52, 63
28577554, 198007.242103, 192.0.100.1, 128.0.0.52, 63
28584223, 198027.240201, 192.0.100.1, 128.0.0.52, 63
28584224, 198027.240204, 192.0.100.1, 128.0.0.52, 63
28590889, 198047.240538, 192.0.100.1, 128.0.0.52, 63
28590890, 198047.240541, 192.0.100.1, 128.0.0.52, 63
28597577, 198067.275614, 192.0.100.1, 128.0.0.52, 63
28597578, 198067.275617, 192.0.100.1, 128.0.0.52, 63
28604245, 198087.247204, 192.0.100.1, 128.0.0.52, 63
28604246, 198087.247207, 192.0.100.1, 128.0.0.52, 63
28610898, 198107.258412, 192.0.100.1, 128.0.0.52, 63
28610899, 198107.258416, 192.0.100.1, 128.0.0.52, 63
28617491, 198127.226650, 192.0.100.1, 128.0.0.52, 63
28617492, 198127.226659, 192.0.100.1, 128.0.0.52, 63
28624140, 198147.248094, 192.0.100.1, 128.0.0.52, 63
28624141, 198147.248098, 192.0.100.1, 128.0.0.52, 63
28630746, 198167.245843, 192.0.100.1, 128.0.0.52, 63
28630747, 198167.245845, 192.0.100.1, 128.0.0.52, 63
28637433, 198187.253778, 192.0.100.1, 128.0.0.52, 63
28637434, 198187.253788, 192.0.100.1, 128.0.0.52, 63
28644122, 198207.242618, 192.0.100.1, 128.0.0.52, 63
28644123, 198207.242620, 192.0.100.1, 128.0.0.52, 63
28650782, 198227.251450, 192.0.100.1, 128.0.0.52, 63
28650783, 198227.251453, 192.0.100.1, 128.0.0.52, 63
28657407, 198247.242419, 192.0.100.1, 128.0.0.52, 63
28657408, 198247.242427, 192.0.100.1, 128.0.0.52, 63
28664120, 198267.226139, 192.0.100.1, 128.0.0.52, 63
28664121, 198267.226142, 192.0.100.1, 128.0.0.52, 63
28670824, 198287.229973, 192.0.100.1, 128.0.0.52, 63
28670825, 198287.229980, 192.0.100.1, 128.0.0.52, 63
28677624, 198307.234325, 192.0.100.1, 128.0.0.52, 63
28677625, 198307.234330, 192.0.100.1, 128.0.0.52, 63
28684407, 198327.257029, 192.0.100.1, 128.0.0.52, 63
28684408, 198327.257031, 192.0.100.1, 128.0.0.52, 63
28692716, 198347.225365, 192.0.100.1, 128.0.0.52, 63
28692717, 198347.225370, 192.0.100.1, 128.0.0.52, 63
28701288, 198367.247592, 192.0.100.1, 128.0.0.52, 63
28701289, 198367.247599, 192.0.100.1, 128.0.0.52, 63
28709891, 198387.233671, 192.0.100.1, 128.0.0.52, 63
28709892, 198387.233679, 192.0.100.1, 128.0.0.52, 63
28718473, 198407.236871, 192.0.100.1, 128.0.0.52, 63
28718474, 198407.236879, 192.0.100.1, 128.0.0.52, 63
28726849, 198427.253075, 192.0.100.1, 128.0.0.52, 63
28726850, 198427.253083, 192.0.100.1, 128.0.0.52, 63
28734746, 198447.254035, 192.0.100.1, 128.0.0.52, 63
28734747, 198447.254041, 192.0.100.1, 128.0.0.52, 63
28741493, 198467.273744, 192.0.100.1, 128.0.0.52, 63
28741494, 198467.273751, 192.0.100.1, 128.0.0.52, 63
28750081, 198487.248585, 192.0.100.1, 128.0.0.52, 63
28750082, 198487.248589, 192.0.100.1, 128.0.0.52, 63
28758586, 198507.269536, 192.0.100.1, 128.0.0.52, 63
28758587, 198507.269539, 192.0.100.1, 128.0.0.52, 63
28766937, 198527.229897, 192.0.100.1, 128.0.0.52, 63
28766938, 198527.229900, 192.0.100.1, 128.0.0.52, 63
28775362, 198547.230862, 192.0.100.1, 128.0.0.52, 63
28775363, 198547.230868, 192.0.100.1, 128.0.0.52, 63
28783853, 198567.245820, 192.0.100.1, 128.0.0.52, 63
28783854, 198567.245823, 192.0.100.1, 128.0.0.52, 63
28792180, 198587.229159, 192.0.100.1, 128.0.0.52, 63
28792181, 198587.229162, 192.0.100.1, 128.0.0.52, 63
28800621, 198607.228498, 192.0.100.1, 128.0.0.52, 63
28800622, 198607.228501, 192.0.100.1, 128.0.0.52, 63
28808864, 198627.228222, 192.0.100.1, 128.0.0.52, 63
28808865, 198627.228225, 192.0.100.1, 128.0.0.52, 63
28817329, 198647.270036, 192.0.100.1, 128.0.0.52, 63
28817330, 198647.270038, 192.0.100.1, 128.0.0.52, 63
28825802, 198667.264622, 192.0.100.1, 128.0.0.52, 63
28825803, 198667.264624, 192.0.100.1, 128.0.0.52, 63
28834198, 198687.243089, 192.0.100.1, 128.0.0.52, 63
28834199, 198687.243092, 192.0.100.1, 128.0.0.52, 63
28842792, 198707.245068, 192.0.100.1, 128.0.0.52, 63
28842793, 198707.245071, 192.0.100.1, 128.0.0.52, 63
28851221, 198727.223650, 192.0.100.1, 128.0.0.52, 63
28851222, 198727.223655, 192.0.100.1, 128.0.0.52, 63
28859715, 198747.269336, 192.0.100.1, 128.0.0.52, 63
28859716, 198747.269339, 192.0.100.1, 128.0.0.52, 63
28868186, 198767.265050, 192.0.100.1, 128.0.0.52, 63
28868187, 198767.265054, 192.0.100.1, 128.0.0.52, 63
28876634, 198787.257267, 192.0.100.1, 128.0.0.52, 63
28876635, 198787.257270, 192.0.100.1, 128.0.0.52, 63
28885034, 198807.246740, 192.0.100.1, 128.0.0.52, 63
28885035, 198807.246743, 192.0.100.1, 128.0.0.52, 63
28893513, 198827.237229, 192.0.100.1, 128.0.0.52, 63
28893514, 198827.237231, 192.0.100.1, 128.0.0.52, 63
28901897, 198847.265156, 192.0.100.1, 128.0.0.52, 63
28901899, 198847.265167, 192.0.100.1, 128.0.0.52, 63
28910413, 198867.263114, 192.0.100.1, 128.0.0.52, 63
28910414, 198867.263117, 192.0.100.1, 128.0.0.52, 63
28919017, 198887.238592, 192.0.100.1, 128.0.0.52, 63
28919018, 198887.238597, 192.0.100.1, 128.0.0.52, 63
28927568, 198907.251424, 192.0.100.1, 128.0.0.52, 63
28927569, 198907.251430, 192.0.100.1, 128.0.0.52, 63
28936845, 198927.259754, 192.0.100.1, 128.0.0.52, 63
28936846, 198927.259757, 192.0.100.1, 128.0.0.52, 63
28949435, 198947.222614, 192.0.100.1, 128.0.0.52, 63
28949436, 198947.222617, 192.0.100.1, 128.0.0.52, 63
28960810, 198967.260807, 192.0.100.1, 128.0.0.52, 63
28960811, 198967.260809, 192.0.100.1, 128.0.0.52, 63
28969267, 198987.240908, 192.0.100.1, 128.0.0.52, 63
28969268, 198987.240917, 192.0.100.1, 128.0.0.52, 63
28977767, 199007.244618, 192.0.100.1, 128.0.0.52, 63
28977768, 199007.244626, 192.0.100.1, 128.0.0.52, 63
28986405, 199027.226337, 192.0.100.1, 128.0.0.52, 63
28986406, 199027.226340, 192.0.100.1, 128.0.0.52, 63
28994872, 199047.221696, 192.0.100.1, 128.0.0.52, 63
28994873, 199047.221699, 192.0.100.1, 128.0.0.52, 63
29003530, 199067.218518, 192.0.100.1, 128.0.0.52, 63
29003531, 199067.218521, 192.0.100.1, 128.0.0.52, 63
